name,description,path,,,Genetically related features,Deposit environment,Deposit group,Deposit type,Synonym(s),Example(s),Reference(s)
Low-fluorine porphyry molybdenum,,Porphyry/,,,"Arc, magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Porphyry,Low-fluorine porphyry molybdenum,Arc-related porphyry molybdenum; low-fluorine stockwork molybdenite,"CAN: Endako, BC; MAX, BC; Boss Mountain, BC; U.S.: Pine Nut, Nev.; Thompson Creek, Idaho","Theodore, 1986; Sinclair, 1995a; Seedorff and others, 2005; Taylor and others, 2012"
Porphyry tungsten,,Porphyry/,,,"Continental arc, back arc, or hinterland, felsic magmatism of ilmenite series, calcalkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Porphyry,Porphyry tungsten,,"CAN: Mount Pleasant, NB","Sinclair, 1995b; Seedorff and others, 2005"
Porphyry tin,,Porphyry/,,,"Continental back arc, or hinterland, felsic S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Porphyry,Porphyry tin,,"CAN: Mount Pleasant, NB; U.S.: Majuba Hill, Nev.","Reed, 1986b; Sinclair, 1995c; Seedorff and others, 2005"
Greisen,,,,,,,,,,,
Greisen tin ±W-Mo,,Greisen/,,,"Continental back arc, or hinterland, felsic S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Greisen,Greisen tin ±W-Mo,,"AUS: Anchor, TAS; CAN: Kemptville, NS; RUS: Spokoininskoye; SAU: Silsilah Sn","Reed, 1986d"
Greisen tungsten-molybdenum ±Bi,,Greisen/,,,"Continental back arc or hinterland, felsic magmatism of ilmenite series, felsic calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Greisen,Greisen tungsten-molybdenum ±Bi,,"AUS: Wolfram Camp, QLD; CAN: Sisson, NB; Mount Pleasant, NB; KAZ: Akchatau; U.S.: Indian Springs, Nev.","Kotlyar and others, 1995"
Greisen beryllium ±Li,,Greisen/,,,"Continental rift, hydrous bimodal magmatism, A-type volcano-plutonic center, magmatic fluid",Magmatic hydrothermal,Greisen,Greisen beryllium ±Li,,"U.S.: McCulloghs Butte, Nev.","Barton and Young, 2002"
Intrusion-related,,,,,,,,,,,
Reduced intrusion-related gold,,Intrusion-related/,,,"Continental back arc or hinter- land, regional felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Intrusion-related,Reduced intrusion-related gold,Plutonic-related gold: intrusion-centered gold; sheeted vein gold; shear-related gold veins,"CAN: Tombstone, YT; U.S.: Fort Knox, Alaska; Bald Mountain, Nev.","Sillitoe, 1991; McCoy and others, 1997; Thompson and others, 1999; Hart and others, 2002; Hart, 2007; Nutt and Hofstra, 2007"
Oxidized intrusion-related gold,,Intrusion-related/,,,"Continental back arc or hinterland, regional felsic magm tism of ilmenite to magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Intrusion-related,Oxidized intrusion-related gold,Plutonic-related gold; disseminated gold; plutonic gold; intrusion-related gold veins,"AUS: Ravenswood, QLD; Timbarra, NSW; Dargues Reef, NSW; CAN: Côté, ON, Malartic, QB","Sillitoe, 1991; Mustard, 2001; Blevin, 2004; Helt and others, 2014"
Pegmatite,,,,,,,,,,,
Simple pegmatite,,Pegmatite/,,,Anatexis or any felsic pluton,Magmatic,Pegmatite,Simple pegmatite,,"CAN: Buckingham, QC","Černý and Ercit, 2005; Martin and De Vito, 2005; London, 2008, 2016"
LCT pegmatite,,Pegmatite/,,,"Continental back arc or hinterland, S-type plutonic center",Magmatic,Pegmatite,LCT pegmatite,,"AUS: Greenbush, WA; Wodgina, WA; Pilgangoora, WA; CAN: Tanco, MB; US: King Lithia, So. Dak.","Černý and Ercit, 2005; Martin and De Vito, 2005; London, 2008, 2016"
NYF pegmatite,,Pegmatite/,,,"Continental rift, hydrous bimodal magmatism, A-type plutonic center",Magmatic,Pegmatite,NYF pegmatite,,"CAN: Bancroft, ON; Little Nahanni, YT","Černý and Ercit, 2005; Martin and De Vito, 2005; London, 2008, 2016"
Abyssal pegmatite REE,,Pegmatite/,,,Anatexis associated with high grade metamorphism,Magmatic,Pegmatite,Abyssal pegmatite REE,,"CAN: Fraser Lakes, SK","London, 2008"
Carbonatite,,,,,,,,,,,
Carbonatite REE,,Carbonatite/,,,"SCLM partial melt, alkalic-peralkaline magmatic center, carbonatites",Magmatic,Carbonatite,Carbonatite REE,,"AUS: Mt. Weld, WA; CAN: Wicheeda Lake, BC; Nisikkatch Lake, SK; Montviel, QC; Lac Shortt, QC; Saint Honoré, QC; China: Bayan'obo; U.S.: Mountain Pass, Calif.","Verplanck and others, 2014, 2016; Simandl and Paradis, 2018"
Carbonatite niobium,,Carbonatite/,,,"SCLM partial melt, alkalic-peralkaline magmatic center, carbonatites",Magmatic,Carbonatite,Carbonatite niobium,,"CAN: Eldor, QC; Niobec, QC; Aley, BC; Blue River, BC; St. Lawrence Columbium Mine, QC","Verplanck and others, 2014, 2016; Simandl and Paradis, 2018"
Peralkaline igneous HFSE-REE,,Peralkaline igneous/,,,"SCLM partial melt, alkalic-peralkaline magmatic center and related pegmatites",Magmatic,Peralkaline igneous,Peralkaline igneous HFSE-REE,,"AUS: Dubbo, NSW; CAN: Strange Lake, QC; Misery Lake, QC; Kipawa, QC; Thor Lake, NT","Dostal, 2016"
Apatite-nepheline-titanite intrusion,,Apatite-nepheline-titanite intrusion/,,,Zoned alkalic plutonic center,Magmatic,Apatite-nepheline-titanite intrusion,Apatite-nepheline-titanite intrusion,"Alkaline massif, nepheline-syenite-foyaite complex",RUS: Apatyty,"Kalashnikov and others, 2016"
Apatite intrusion REE,,Apatite intrusion/,,,Alkalic dike complex,Magmatic,Apatite intrusion,Apatite intrusion REE,Apatite vein,"AUS: Nolans Bore, NT","Hussey and Dean, 2013; Huston and others, 2016a"
Kimberlite diamond,,Kimberlite/,,,"SCLM partial melt, diatreme, kimberlite",Magmatic,Kimberlite,Kimberlite diamond,,"AUS: Argyll, WA; CAN: Ekati, Gahcho Kue, Snap Lake, and Diavik, NT; Renard, QC; Victor, ON","Michalski and Modreski, 1991; Pell, 1999"
Komatiite nickel-copper-PGE,,Komatiite/,,,"Archean to early Proterozoic continental rift or plume, high degree mantle melts, green-stone belts, ultramafic-mafic volcanic center",Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Kambalda-type, raglan-type","AUS: Kambalda; CAN: Langmuir, ON; Alexo-Dundonald, ON; Raglan, QC; Thompson, MB; ZWE: Damba","Page, 1986b; Naldrett, 2004; Zientek and others, 2017"
Ultramafic and (or) mafic-layered intrusion,,,,,,,,,,,
U-M layered intrusion chromium,,Ultramafic and (or) mafic intrusion/Ultramafic and (or) mafic-layered intrusion/,,,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",Magmatic,Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion chromium,,"AUS: Coobina, WA; CAN: Bird River, MB; Ring of Fire, ON; ZAF: Bushveld Complex","Schulte and others, 2012"
U-M layered intrusion nickel-copper-PGE,,Ultramafic and (or) mafic intrusion/Ultramafic and (or) mafic-layered intrusion/,,,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",Magmatic,Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion nickel-copper-PGE,Contact-type,"AUS: Savannah, WA; Radio Hill, WA; CAN: Muskox, NU; Crystal Lake, ON; U.S.: Maturi, Spruce Road, Minn.","Naldrett, 2004; Zientek and others, 2017"
U-M layered intrusion PGE,,Ultramafic and (or) mafic intrusion/Ultramafic and (or) mafic-layered intrusion/,,,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",Magmatic,Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion PGE,Reef-type and (or) brecciated,"CAN: Lac des Îles, ON; Marathon, ON","Zientek and others, 2017"
U-M layered intrusion iron-titanium-vanadium,,Ultramafic and (or) mafic intrusion/Ultramafic and (or) mafic-layered intrusion/,,,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",Magmatic,Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion iron-titanium-vanadium,,"AUS: Balla Balla, WA; CAN: Grader, QC; Lac Doré, QC; Iron-T, QC; Sept Iles, QC; La Blache, QC","Page, 1986a"
Ultramafic and (or) mafic intrusion,,,,,,,,,,,
U-M intrusion nickel-copper-PGE,,Ultramafic and (or) mafic intrusion/,,,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic stock or pluton (maybe zoned)",Magmatic,Ultramafic and (or) mafic intrusion,U-M intrusion nickel-copper-PGE,,"CAN: Lynn Lake, MB","Naldrett, 2004"
Arc U-M intrusion titanium-vanadium,,Ultramafic and (or) mafic intrusion/,,,"Convergent margin, ultramafic-mafic magmatic center",Magmatic,Ultramafic and (or) mafic intrusion,Arc U-M intrusion titanium-vanadium,"Alaskan-type, uralian-type","CAN: Lac Allard, QC","Page and Gray, 1986"
Arc U-M intrusion nickel-copper-PGE,,Ultramafic and (or) mafic intrusion/,,,"Convergent margin, ultramafic-mafic magmatic center",Magmatic,Ultramafic and (or) mafic intrusion,Arc U-M intrusion nickel-copper-PGE,"Alaskan-type, uralian-type, picrite-tholeiite Ni-Cu-PGE","CAN: Tulameen Complex, BC; Turnagain, BC","Page and Gray, 1986; Naldrett, 2004"
Impact U-M intrusion nickel-copper-PGE,,Ultramafic and (or) mafic intrusion/,,,"Meteorite impact, ultramafic-mafic magmatism",Magmatic,Ultramafic and (or) mafic intrusion,Impact U-M intrusion nickel-copper-PGE,Impact melt Ni-Cu-PGE,"CAN: Sudbury, ON","Keays and Lightfoot, 2004; Naldrett, 2004"
Ultramafic and (or) mafic conduit,,,,,,,,,,,
U-M conduit nickel-copper-PGE,,Ultramafic and (or) mafic intrusion/Ultramafic and (or) mafic conduit/,,,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic sills, dikes, chonoliths",Magmatic,Ultramafic and (or) mafic conduit,U-M conduit nickel-copper-PGE,"Flood basalt Ni-Cu-PGE, ferropicrite Ni-Cu-PGE, picrite-tholeiite N-Cu-PGE","AUS: Nebo-Babel, Expo-Savannah; CHN: Kalatongke; RUS: Norilsk; US: Eagle, Mich.; Tamarack, Minn.","Naldrett, 2004; Barnes and others, 2016; Zientek and others, 2017"
Ophiolite,,,,,,,,,,,
Ophiolite chromium,,Ophiolite/,,,Obducted oceanic or back arc crust,Magmatic,Ophiolite,Ophiolite chromium,Podiform chromite,"CAN: Thetford Mines QC, Castle Mountain Nickel, BC; Scottie Creek, BC; PHL: Acoje","Duke, 1995; Ash, 1996; Mosier and others, 2012"
Ophiolite nickel-copper-PGE,,Ophiolite/,,,Obducted oceanic or back arc crust,Magmatic,Ophiolite,Ophiolite nickel-copper-PGE,Picrite-tholeiite Ni-Cu-PGE,PHL: Acoje,"Yumul, 2001; Naldrett, 2004; Zientek and others, 2017"
Anorthosite massif titanium,,Anorthosite massif/,,,"Convergent margin, late extension, intermediate plutonic center",Magmatic,Anorthosite massif,Anorthosite massif titanium,Anorthosite pluton,"CAN: Lac Doré, QC; Lac Tio, QC; Norway: Tellnes","Woodruff and others, 2013"
Anorthosite conduit nickel-copper-PGE,,Anorthosite conduit/,,,"Convergent margin, late extension, intermediate (± granitic) dikes, sills, chonoliths",Magmatic,Anorthosite conduit,Anorthosite conduit nickel-copper-PGE,Anorthosite-granite-troctolite Ni-Cu-PGE,"CAN: Voiseys Bay, NL","Naldrett, 2004; Barnes and others, 2016"
